spotify:track:2CtCwQhY0ZLvr8L2l8Bo6e,0,0
spotify:track:17DUiqx37Z6yAetBpr8z51,0,23
spotify:track:2l9U0zTBpcsAfCuIUO9FxB,0,45
spotify:track:583d2NUV0t7Xk95ayb8qC4,0,7
spotify:track:3wPLVTqp66miOokxN1cLbm,0,30
spotify:track:3wPLVTqp66miOokxN1cLbm,2,29
spotify:track:0ck5sS26EniJMUIOayfog3,1,11.5
spotify:track:417js3VbhHkvfrpy5t75oJ,0,8
spotify:track:24kUEDm2KxTHbflxgqLHdw,0,0
spotify:track:60eZxEhkCO1c93v2cukVGd,3,19
spotify:track:10Kvxv3l0NYCv27o8gMZeg,0,0
spotify:track:71SFE7pdTmcWODWIzhRM0J,1,17
spotify:track:2Ua2W5HQsXDPHyQLTQVSNS,1,20
spotify:track:6WkbpykevvQi312Lez5KXP,0,0
spotify:track:3541c9HnGOaCrPbUnO2e0K,0,0
spotify:track:76zJRh6NPFuZ0qqhBT5Fxy,2,0.5
spotify:track:2koM25td7pQ1ytPY7DIJVE,0,0
spotify:track:4XYiUhfTzwW7Di8XceArrr,1,29
spotify:track:7CzRyvdv6yRRcQe0DMQwsw,3,50
spotify:track:3jbawrB2z7HcF7HE5wrJI7,4,50
